idPet,petName,Gender,typeOfPet,bornPetDay
3582467816260716,Gemsbok,Female,Oryx gazella,Male
3535786805366400,"Macaw, blue and yellow",Female,Ara ararauna,Male
4175004378705985,Water moccasin,Female,Agkistrodon piscivorus,Female
3563144111862263,Red-tailed cockatoo,Female,Calyptorhynchus magnificus,Female
4936114232438861,Wild turkey,Female,Meleagris gallopavo,Female
3564914905086082,"Ringtail, common",Male,Pseudocheirus peregrinus,Male
3584128707982861,"Phalarope, red-necked",Male,Phalaropus lobatus,Male
374622869191212,Common rhea,Male,Rhea americana,Female
3576485714283257,Eastern indigo snake,Female,Drymarchon corias couperi,Male
30476939146250,"Penguin, galapagos",Male,Spheniscus mendiculus,Female
3536918436672182,Black-fronted bulbul,Female,Pycnonotus nigricans,Female
4905055197194014,Eastern fox squirrel,Male,Sciurus niger,Female
3576236158801611,Short-beaked echidna,Male,Tachyglossus aculeatus,Female
3537080092797479,Leopard,Female,Panthera pardus,Female
3545747295850483,Red and blue macaw,Male,Ara chloroptera,Female
3559637286588932,Cape fox,Male,Vulpes chama,Female
3559826809729715,Radiated tortoise,Male,Geochelone radiata,Female
201475095780046,Peregrine falcon,Male,Falco peregrinus,Female
201725487290446,Horned lark,Male,Eremophila alpestris,Male
370123213078605,"Bear, grizzly",Female,Ursus arctos,Male
3558043288753767,Rainbow lory,Male,Trichoglossus haematodus moluccanus,Male
560225771223301985,Common boubou shrike,Male,Laniarius ferrugineus,Male
30360404094742,Southern lapwing,Male,Vanellus chilensis,Female
5494770302899000,"Jacana, african",Female,Actophilornis africanus,Male
3576222616715007,"Cat, cape wild",Male,Felis libyca,Male
5010126587646217,"Dragon, frilled",Male,Chlamydosaurus kingii,Female
3536046594674038,"Buffalo, wild water",Male,Bubalus arnee,Female
3543378826867861,Weeper capuchin,Male,Cebus nigrivittatus,Female
3532459487694803,"Viper, egyptian",Male,Naja haje,Female
561009062143908244,"Porcupine, north american",Male,Erethizon dorsatum,Male
3578054009933972,Burchell's gonolek,Female,Laniaurius atrococcineus,Male
30318316887553,Rhesus macaque,Female,Macaca mulatta,Female
3580567977868918,"Heron, goliath",Male,Ardea golieth,Female
3556675193754265,Red howler monkey,Female,Alouatta seniculus,Male
3580746487306201,"Legaan, Monitor (unidentified)",Female,Varanus sp.,Male
3553997209541723,"Lizard, giant girdled",Female,Cordylus giganteus,Female
3552690353368032,Old world fruit bat (unidentified),Male,unavailable,Male
30143346681341,"Goose, egyptian",Female,Alopochen aegyptiacus,Female
30034889194141,"Macaque, pig-tailed",Female,Macaca nemestrina,Male
3586124130895000,Blue-tongued lizard,Female,Tiliqua scincoides,Female
5100135259904425,Fisher,Female,Martes pennanti,Male
3550410821784237,"Otter, african clawless",Female,Aonyx capensis,Male
3532758587666847,"Kiskadee, great",Male,Pitangus sulphuratus,Male
3580090082776298,"Squirrel, golden-mantled ground",Female,Spermophilus lateralis,Female
3531833926873932,Common shelduck,Female,Tadorna tadorna,Female
3567286087232249,Lapwing (unidentified),Male,Vanellus sp.,Female
6761528888708605,"Squirrel, arctic ground",Male,Spermophilus parryii,Female
6333464708344620,"Lory, rainbow",Female,Trichoglossus haematodus moluccanus,Female
3589263654025086,"Kingfisher, pied",Male,Ceryle rudis,Male
3556220158074571,"Quoll, spotted-tailed",Female,Dasyurus maculatus,Female
4917812361900105,"Stilt, black-winged",Female,Himantopus himantopus,Female
5108753842767786,Wild boar,Male,Sus scrofa,Male
3536416387226678,Gulls (unidentified),Male,Larus sp.,Male
5602252407300373,Silver-backed jackal,Female,Canis mesomelas,Male
560224101845258424,Spotted wood sandpiper,Female,Tringa glareola,Male
3548482167274664,Black-backed magpie,Male,Gymnorhina tibicen,Male
3546713536089280,"Legaan, ground",Female,Varanus sp.,Male
3528427483569796,"Cormorant, pied",Female,Phalacrocorax varius,Male
3558721153736518,Crested porcupine,Male,Hystrix cristata,Female
560222288799187261,North American red fox,Male,Vulpes vulpes,Female
3573351247884396,Topi,Female,Damaliscus lunatus,Female
3571392975018932,Tawny frogmouth,Female,Podargus strigoides,Female
3560700488489296,"Pie, indian tree",Female,Dendrocitta vagabunda,Female
3565727844541481,Bald eagle,Female,Haliaeetus leucocephalus,Female
4175001518704696,"Vulture, king",Female,Sarcorhamphus papa,Male
3563223123032105,"Booby, blue-footed",Male,Sula nebouxii,Female
5602222464332338,"Badger, honey",Female,Mellivora capensis,Female
63041748631049296,"Badger, eurasian",Female,Meles meles,Female
677174265463775431,"Gorilla, western lowland",Male,Gorilla gorilla,Female
676121981825528716,Water moccasin,Male,Agkistrodon piscivorus,Male
3568408051972027,"Squirrel, arctic ground",Female,Spermophilus parryii,Female
3533584753375594,"Rattlesnake, eastern diamondback",Male,Crotalus adamanteus,Female
3530403609472484,"Lion, asian",Male,Panthera leo persica,Male
30154813265054,Ocelot,Female,Felis pardalis,Female
201937494368053,"Dove, rock",Female,Columba livia,Female
676106752747715049,Galapagos tortoise,Male,Geochelone elephantopus,Male
30472044351158,"Reedbuck, bohor",Female,Redunca redunca,Male
30386498294823,"Stork, greater adjutant",Female,Leptoptilus dubius,Male
3532470582130619,"Lion, south american sea",Male,Otaria flavescens,Female
6333103881407309945,Rainbow lory,Male,Trichoglossus haematodus moluccanus,Female
30230433513089,"Macaw, scarlet",Male,Ara macao,Female
3531691551806407,Emerald-spotted wood dove,Female,Turtur chalcospilos,Female
5441836645166540,Barrows goldeneye,Male,Bucephala clangula,Female
3543094032742968,"Grenadier, common",Female,Uraeginthus granatina,Female
5108752086586837,Javanese cormorant,Female,Phalacrocorax niger,Male
372301972429775,Black-capped chickadee,Female,Parus atricapillus,Female
3554546980040410,Arctic tern,Male,Sterna paradisaea,Male
676317688567335119,American black bear,Female,Ursus americanus,Female
3549782028967938,Monitor lizard (unidentified),Female,Varanus sp.,Female
3565217320378418,Trumpeter swan,Male,Cygnus buccinator,Female
5522176345946996,"Jackrabbit, white-tailed",Male,Lepus townsendii,Female
201786518671897,Yellow-billed hornbill,Male,Tockus flavirostris,Male
3559556787648658,Red-knobbed coot,Female,Fulica cristata,Female
201933319206412,Yellow mongoose,Female,Cynictis penicillata,Female
3539346454493330,"Antechinus, brown",Male,Antechinus flavipes,Female
201676551613734,"Barbet, levaillant's",Female,Trachyphonus vaillantii,Male
502017559814246790,Common mynah,Male,Acridotheres tristis,Female
4041590505858707,"Tinamou, elegant crested",Female,Eudromia elegans,Male
3566842109611512,"Eagle, bald",Male,Haliaeetus leucocephalus,Female
675950746235160907,Asian openbill,Male,Anastomus oscitans,Male
3530723534747910,"Bleu, red-cheeked cordon",Female,Uraeginthus bengalus,Male
4405164828408739,"Skua, long-tailed",Female,Stercorarius longicausus,Female
56022594565431747,Sidewinder,Male,Crotalus cerastes,Male
3581604545249716,"Elk, Wapiti",Female,Cervus canadensis,Male
4911688025630189157,Grey phalarope,Female,Phalaropus fulicarius,Female
201431793902564,Oribi,Female,Ourebia ourebi,Male
201662191686942,"Phascogale, brush-tailed",Female,Phascogale tapoatafa,Male
5602250398902470,Burchell's gonolek,Male,Laniaurius atrococcineus,Female
4913609259422646,"Whale, baleen",Male,Eubalaena australis,Male
490537914781252967,Brush-tailed phascogale,Male,Phascogale tapoatafa,Male
633451663266959979,Lesser flamingo,Male,Phoeniconaias minor,Male
56022484613617606,"Dunnart, fat-tailed",Male,Smithopsis crassicaudata,Female
3540072816487359,Black-backed magpie,Male,Gymnorhina tibicen,Female
3535220460352364,"Penguin, magellanic",Male,Spheniscus magellanicus,Male
3552180982158996,"Eagle, pallas's fish",Female,Haliaeetus leucoryphus,Female
3550412571557920,"Deer, white-tailed",Male,Odocoilenaus virginianus,Female
5610393348402777,Mountain duck,Female,Hymenolaimus malacorhynchus,Female
6767725670665381416,Western spotted skunk,Female,Spilogale gracilis,Male
501859896463739177,"Ox, musk",Male,Ovibos moschatus,Female
4911428078281286025,Pallas's fish eagle,Female,Haliaeetus leucoryphus,Male
3574428020397751,"Cat, european wild",Female,Felis silvestris lybica,Male
3579313117082281,Cape clawless otter,Male,Aonyx capensis,Male
3575115154977701,"Eagle, bald",Male,Haliaeetus leucocephalus,Female
3571094002830863,"Porcupine, north american",Male,Erethizon dorsatum,Male
3580277953609449,Galapagos penguin,Female,Spheniscus mendiculus,Female
3576048724661126,Yellow-throated sandgrouse,Male,Pterocles gutturalis,Female
3532435345363682,"Fox, asian red",Female,Vulpes vulpes,Male
3578137862723109,"Monkey, red howler",Male,Alouatta seniculus,Female
4222163741909,"Penguin, fairy",Female,Eudyptula minor,Male
3581818994373005,Bird (unidentified),Female,unavailable,Male
30098616583959,Northern elephant seal,Male,Mirounga angustirostris,Female
0604563857253535,"Lemur, grey mouse",Male,Microcebus murinus,Male
3565037955733871,"Monitor, white-throated",Male,Varanus albigularis,Female
201582680950890,Long-necked turtle,Female,Chelodina longicollis,Male
503895263611109179,Striped hyena,Female,Hyaena hyaena,Male
201805770029030,Western palm tanager (unidentified),Female,unavailable,Female
3559275670453395,African snake (unidentified),Male,unavailable,Male
3548304542525992,"Langur, common",Female,Semnopithecus entellus,Male
633110075964182783,"Cat, civet",Female,Bassariscus astutus,Female
5602246825683667,White-throated monitor,Female,Varanus albigularis,Female
4405133413750169,"Langur, gray",Male,Semnopithecus entellus,Male
3530089148493832,"Gull, southern black-backed",Male,Larus dominicanus,Female
3538786591267660,"Cormorant, large",Male,Phalacrocorax carbo,Female
374288206824178,"Raven, white-necked",Male,Corvus albicollis,Female
5219509284713670,"Badger, american",Female,Taxidea taxus,Female
30059398468728,Galapagos albatross,Male,Diomedea irrorata,Male
633445031248444875,Golden-mantled ground squirrel,Male,Spermophilus lateralis,Female
3580294774337258,"Duck, comb",Male,Sarkidornis melanotos,Female
3545600631598102,"Waxbill, violet-eared",Male,Uraeginthus granatina,Female
3560159481397685,"Wallaby, dama",Female,Macropus eugenii,Male
6762369013516722185,Steenbok,Male,Raphicerus campestris,Female
3543939219751549,"Squirrel, eurasian red",Female,Sciurus vulgaris,Male
6763533729867586973,"Skua, great",Male,Catharacta skua,Female
4508348993315987,Canadian river otter,Male,Lutra canadensis,Male
6333169444007551,"Jacana, african",Male,Actophilornis africanus,Female
56022573650455340,"Shrike, crimson-breasted",Male,Laniaurius atrococcineus,Male
5108752982488823,Ostrich,Male,Struthio camelus,Female
3574372712498164,"Cliffchat, mocking",Female,Thamnolaea cinnmomeiventris,Female
4041372735563,"Vulture, black",Male,Aegypius tracheliotus,Female
6767150650569001082,"Marshbird, brown and yellow",Male,Pseudoleistes virescens,Female
503854286853301526,"Gecko, bent-toed",Female,Cyrtodactylus louisiadensis,Female
3576119911882518,"Otter, small-clawed",Female,Aonyx cinerea,Male
3534487461301671,Grey lourie,Male,Lorythaixoides concolor,Female
3567359719795477,Meerkat,Female,Suricata suricatta,Male
201744083006429,"Tern, white-winged",Male,Chlidonias leucopterus,Female
3572906648911691,"Screamer, crested",Female,Chauna torquata,Male
3581153021779168,"Wallaby, whip-tailed",Male,Macropus parryi,Female
4041375688942,Common melba finch,Female,Pytilia melba,Male
490569064489677668,"Robin, white-throated",Male,Irania gutteralis,Male
3530981096476001,"Deer, roe",Male,Capreolus capreolus,Male
5513085515807758,"Porcupine, african",Female,Hystrix cristata,Male
4905101981963212,"Porcupine, african",Female,Hystrix cristata,Female
3583051551291612,Ibex,Female,Capra ibex,Male
3540903046847436,Cape raven,Male,Corvus albicollis,Female
201575757046790,"Phalarope, red-necked",Male,Phalaropus lobatus,Male
3585117036964012,Dark-winged trumpeter,Female,Psophia viridis,Female
5575904217003562,Collared lizard,Male,Crotaphytus collaris,Male
3580528825683677,Herring gull,Male,unavailable,Female
5100131883836547,Spotted-tailed quoll,Female,Dasyurus maculatus,Female
560222306913449001,African darter,Female,Anhinga rufa,Female
56022234259478189,"Pademelon, red-legged",Male,Thylogale stigmatica,Male
337941357126167,Greater flamingo,Male,Phoenicopterus ruber,Male
3559049697897318,North American beaver,Male,Castor canadensis,Male
5559581539643109,"Cat, native",Female,Dasyurus viverrinus,Female
3558072373689008,"Eagle, bald",Male,Haliaeetus leucocephalus,Male
67624812557082685,Javanese cormorant,Female,Phalacrocorax niger,Female
676344146672721274,Tayra,Male,Eira barbata,Male
503856661132845998,"Cat, long-tailed spotted",Female,Felis wiedi or Leopardus weidi,Female
3571635167038781,"Tortoise, asian foreset",Male,Manouria emys,Male
4913854139132573,Vine snake (unidentified),Female,Oxybelis sp.,Male
6759667967252015481,"Polecat, african",Female,Ictonyx striatus,Male
676309384195593812,Blue waxbill,Female,Uraeginthus angolensis,Male
3531147995201168,Levaillant's barbet,Male,Trachyphonus vaillantii,Female
3568492814733272,White-faced whistling duck,Female,Dendrocygna viduata,Female
30321149191771,"Owl, white-browed",Male,Ninox superciliaris,Female
372504707160678,Mocking cliffchat,Female,Thamnolaea cinnmomeiventris,Female
374283207709700,Grizzly bear,Female,Ursus arctos,Female
3583284313408469,Bohor reedbuck,Male,Redunca redunca,Male
374283563938281,Savannah deer (unidentified),Male,unavailable,Female
4017959293499,"Weaver, sociable",Female,Philetairus socius,Female
3565238969862934,Mexican boa,Male,Boa constrictor mexicana,Male
3584267830608132,Dingo,Female,Canis dingo,Female
56022358783755315,Thirteen-lined squirrel,Female,Spermophilus tridecemlineatus,Male
371269960572925,Common wolf,Female,Canis lupus,Male
201718478520061,Javan gold-spotted mongoose,Female,Herpestes javanicus,Male
630427394232196978,American bison,Male,Bison bison,Male
3575482469517972,Crab-eating raccoon,Male,Procyon cancrivorus,Female
3557978640339204,Ring-tailed possum,Female,Pseudocheirus peregrinus,Female
30396905608408,Cook's tree boa,Male,Corallus hortulanus cooki,Female
4913622796871282,Common boubou shrike,Female,Laniarius ferrugineus,Male
502005758040974241,"Beaver, american",Female,Castor canadensis,Male
3536401473922802,Steller sea lion,Male,Eumetopias jubatus,Female
201444427354656,Kongoni,Female,Alcelaphus buselaphus cokii,Female
3586173593882989,"Owl, great horned",Male,Bubo virginianus,Female
5641823008570106520,"Bear, american black",Male,Ursus americanus,Female
5602224291673363,"Lechwe, kafue flats",Male,Kobus leche robertsi,Male
633110163013106340,Neotropic cormorant,Male,Phalacrocorax brasilianus,Male
4913192815482115,"Turkey, wild",Female,Meleagris gallopavo,Female
371711836948896,"Gorilla, western lowland",Female,Gorilla gorilla,Male
3554746644417554,Currasow (unidentified),Male,Crax sp.,Male
5423210597217887,"Meerkat, red",Female,Cynictis penicillata,Female
5448431726763473,Tyrant flycatcher,Female,Myiarchus tuberculifer,Female
50182062792682093,Desert kangaroo rat,Female,Dipodomys deserti,Female
3579876233410669,"Hare, arctic",Female,Lepus arcticus,Female
5106463756987329,"Nutcracker, clark's",Male,Nucifraga columbiana,Male
3569197408159524,Common boubou shrike,Male,Laniarius ferrugineus,Female
67598265742634096,"Cat, jungle",Male,Felis chaus,Female
3589042551070902,"Cat, cape wild",Male,Felis libyca,Male
3550690305419232,Common genet,Male,Genetta genetta,Female
201992302016394,Great egret,Male,Casmerodius albus,Female
5139611529790617,"Teal, hottentot",Female,Anas punctata,Female
3544522204895817,American crow,Male,Corvus brachyrhynchos,Female
3587018390574124,"Tapir, brazilian",Female,Tapirus terrestris,Male
3572280496747486,Giant otter,Female,Pteronura brasiliensis,Female
4903796378593357287,"Deer, red",Female,Cervus elaphus,Male
6759006366130031622,"Egret, snowy",Male,Egretta thula,Female
3548589932955193,"Barbet, crested",Male,Trachyphonus vaillantii,Female
3550196289836193,Currasow (unidentified),Female,Crax sp.,Female
4175008191585474,Great egret,Male,Casmerodius albus,Female
560223711812403836,"Cliffchat, mocking",Male,Thamnolaea cinnmomeiventris,Male
3543325490248241,Red-tailed hawk,Male,Buteo jamaicensis,Male
3545852048131346,Common raccoon,Female,Procyon lotor,Male
3545815211365686,"Gull, southern black-backed",Female,Larus dominicanus,Male
3556852866680909,"Trumpeter, dark-winged",Female,Psophia viridis,Female
3538242352304482,Gecko (unidentified),Female,unavailable,Male
36433825974257,Brush-tailed rat kangaroo,Male,Bettongia penicillata,Female
4936257695019312,Roseate cockatoo,Male,Eolophus roseicapillus,Female
5397357994495632,"Antelope, four-horned",Female,Tetracerus quadricornis,Female
4175008526609833,Green-winged trumpeter,Female,Psophia viridis,Male
5100130219347062,"Sheep, stone",Female,Ovis dalli stonei,Male
560225071533234137,"Bee-eater, white-fronted",Female,Merops bullockoides,Male
3532636149637367,White-headed vulture,Male,Aegypius occipitalis,Female
4041371324052792,"Shelduck, european",Male,Tadorna tadorna,Female
3530755403955000,"Waxbill, blue",Male,Uraeginthus angolensis,Female
670971715323034064,"Peccary, white-lipped",Female,Tayassu pecari,Female
3567011055336115,Pacific gull,Female,Gabianus pacificus,Female
6376594355630042,Blue duck,Female,Hymenolaimus malacorhynchus,Male
5100144055623841,"Deer, savannah",Female,Mazama gouazoubira,Female
3559220459326784,"Kingfisher, white-throated",Male,Halcyon smyrnesis,Male
3536824298525460,"Hartebeest, coke's",Male,Alcelaphus buselaphus cokii,Female
5602233702517143,Common wallaroo,Male,Macropus robustus,Female
5100147242041652,Blue-tongued lizard,Male,Tiliqua scincoides,Female
3563990470267605,Common genet,Female,Genetta genetta,Male
4905083608812008,Urial,Male,Ovis orientalis,Male
3537397368709958,"Stork, black-necked",Female,Ephippiorhynchus mycteria,Male
3534919529938664,"Lizard, mexican beaded",Male,Heloderma horridum,Female
3554848255438893,Brolga crane,Female,Grus rubicundus,Male
3571395291774468,Canadian tiger swallowtail butterfly,Male,Papilio canadensis,Male
3575082630442785,Greylag goose,Male,Anser anser,Male
3559778941865701,"Eagle, african fish",Female,Haliaetus vocifer,Female
3537334350698733,Fat-tailed dunnart,Male,Smithopsis crassicaudata,Female
3562620966901901,"Eagle, pallas's fish",Female,Haliaeetus leucoryphus,Male
5108754901484073,"Flamingo, roseat",Female,Phoenicopterus ruber,Male
3564903289827310,"Porcupine, tree",Male,Coendou prehensilis,Male
3542213712852191,White-throated robin,Male,Irania gutteralis,Male
501836164591058426,"Crane, brolga",Male,Grus rubicundus,Female
670968150946515528,"Gecko, tokay",Male,Gekko gecko,Male
4017956387924638,Komodo dragon,Male,Varanus komodensis,Male
3560674190137503,Red squirrel,Female,Tamiasciurus hudsonicus,Male
30542825513083,"Armadillo, giant",Male,Priodontes maximus,Female
3580730475553776,Green-winged macaw,Male,Ara chloroptera,Female
5020301102189025862,Verreaux's sifaka,Male,Propithecus verreauxi,Male
3533947561709652,"Skimmer, four-spotted",Female,Libellula quadrimaculata,Female
67061789246917671,Steenbuck,Female,Raphicerus campestris,Female
560224991372192560,Australian spiny anteater,Female,Tachyglossus aculeatus,Male
3535271445102010,Four-spotted skimmer,Male,Libellula quadrimaculata,Female
3535787398626804,American Virginia opossum,Male,Didelphis virginiana,Female
3560036006618193,"Porcupine, indian",Male,Hystrix indica,Male
3580441382791349,Eastern white pelican,Male,Pelecans onocratalus,Female
4405007820304937,"Kangaroo, black-faced",Female,Macropus fuliginosus,Male
30561497015953,"Waterbuck, common",Female,Kobus defassa,Female
30153402159025,Gray duiker,Female,Sylvicapra grimma,Male
30507366221859,African darter,Male,Anhinga rufa,Female
3531045146397036,Desert kangaroo rat,Male,Dipodomys deserti,Female
3562997029822005,Dingo,Female,Canis dingo,Female
5602240328408466,"Cockatoo, roseate",Male,Eolophus roseicapillus,Female
3540846156848589,"Monkey, rhesus",Male,Macaca mulatta,Male
4175005972157879,"Fox, crab-eating",Female,Dusicyon thous,Female
4041591883467,Land iguana,Female,Conolophus subcristatus,Female
3566290062027690,Common rhea,Male,Rhea americana,Female
3589139270938037,South African hedgehog,Female,Erinaceus frontalis,Female
4405343709847609,Euro wallaby,Male,Macropus robustus,Male
374622581244380,Spotted deer,Female,Axis axis,Female
3536913544115588,"Wallaby, euro",Male,Macropus robustus,Male
341423400420388,Steller's sea lion,Male,Eumetopias jubatus,Female
374283593287717,Silver gull,Female,Larus novaehollandiae,Male
341433060988194,Bush dog,Female,Speothos vanaticus,Male
201781055418323,Square-lipped rhinoceros,Female,Ceratotherium simum,Male
4233642638085043,Red-billed buffalo weaver,Female,Bubalornis niger,Male
3571982709729943,Superb starling,Female,Lamprotornis superbus,Male
6304768250908082780,Tiger,Male,Panthera tigris,Female
4917271861446533,Glossy starling (unidentified),Male,Lamprotornis sp.,Male
5591419605836283,Southern lapwing,Female,Vanellus chilensis,Female
5251922155972524,"Armadillo, nine-banded",Female,Dasypus novemcinctus,Male
201949092391015,"Waterbuck, common",Female,Kobus defassa,Female
5592653978091022,Australian sea lion,Male,Neophoca cinerea,Male
56107988145028742,Marabou stork,Male,Leptoptilos crumeniferus,Male
5408390521868861,"Tortoise, asian foreset",Male,Manouria emys,Male
630442060924391570,Crimson-breasted shrike,Female,Laniaurius atrococcineus,Male
3542215016401336,Serval,Male,Felis serval,Male
5602254774897965,Long-finned pilot whale,Male,Globicephala melas,Male
63040572157536333,Four-horned antelope,Female,Tetracerus quadricornis,Female
6304237441518535,Black-backed magpie,Female,Gymnorhina tibicen,Female
3557324586689981,Agouti,Female,Dasyprocta leporina,Male
3576362226417444,Darwin ground finch (unidentified),Female,Geospiza sp.,Male
6767538076629669614,"Bustard, denham's",Female,Neotis denhami,Male
30499983239011,"Partridge, coqui",Male,Francolinus coqui,Male
3542315328345674,Great white pelican,Male,Pelecans onocratalus,Female
4041375385952329,"Rhinoceros, black",Male,Diceros bicornis,Male
3554915895157405,Radiated tortoise,Female,Geochelone radiata,Female
3534538848447940,Western patch-nosed snake,Female,Salvadora hexalepis,Male
3547642225561029,Paca,Female,Agouti paca,Male
560225903236322811,"Ibis, glossy",Male,Plegadis falcinellus,Male
3529756604667520,Bohor reedbuck,Male,Redunca redunca,Female
201514599396634,"Squirrel, arctic ground",Male,Spermophilus parryii,Female
5007663476112146,Red phalarope,Male,Phalaropus fulicarius,Male
201561884578020,Banded mongoose,Female,Mungos mungo,Female
4905580132028645344,Rock dove,Female,Columba livia,Male
4508630312528923,"Boa, cook's tree",Female,Corallus hortulanus cooki,Female
3582117745449704,"Lion, galapagos sea",Female,Zalophus californicus,Male
491197226853338643,"Spider, wolf",Female,Lycosa godeffroyi,Female
3585963801617933,Black vulture,Female,Aegypius tracheliotus,Female
490334556367170009,Jaguarundi,Female,Felis yagouaroundi,Female
3540937878183155,African buffalo,Female,Snycerus caffer,Female
4844137234031963,Eurasian hoopoe,Male,Upupa epops,Male
3532257389772838,Southern boubou,Male,Laniarius ferrugineus,Female
0604968422409704,Grant's gazelle,Female,Gazella granti,Female
3551715861445971,Rose-ringed parakeet,Female,Psittacula krameri,Male
5602219428310202,Blue racer,Female,Coluber constrictor foxii,Male
3577794696993745,Malagasy ground boa,Male,Acrantophis madagascariensis,Male
5048370251554952,White-mantled colobus,Male,Colobus guerza,Male
6706047256350419,"Toucan, red-billed",Male,Ramphastos tucanus,Male
4936298572995610847,Southern brown bandicoot,Female,Isoodon obesulus,Female
5018363647665000,Galapagos albatross,Male,Diomedea irrorata,Male
3540995116730955,"Gull, lava",Male,Larus fuliginosus,Male
4905620747956628939,"Dove, rock",Male,Columba livia,Male
490305375384656253,"Macaque, japanese",Male,Macaca fuscata,Male
3581828421969127,"Deer, swamp",Female,Cervus duvauceli,Female
5602259650885489,"Eagle, bald",Female,Haliaeetus leucocephalus,Female
5048370308636356,"Fox, north american red",Male,Vulpes vulpes,Male
3570283866235225,Curve-billed thrasher,Male,Toxostoma curvirostre,Female
4844586487834830,Clark's nutcracker,Female,Nucifraga columbiana,Female
5602248669387921150,"Dolphin, common",Female,Delphinus delphis,Female
5108751103483689,Onager,Male,Equus hemionus,Female
3528990668330862,Gecko (unidentified),Female,unavailable,Male
3534633973117812,River wallaby,Male,Macropus agilis,Female
4041379055403,"Heron, giant",Female,Ardea golieth,Female
374622443793335,Greater kudu,Female,Tragelaphus strepsiceros,Male
5463713681598337,Southern brown bandicoot,Female,Isoodon obesulus,Male
3542493575097262,"Rat, desert kangaroo",Female,Dipodomys deserti,Female
3536945237593689,Tiger snake,Female,Notechis semmiannulatus,Male
0604809312519816194,Burrowing owl,Female,Speotyte cuniculata,Female
5602212989632478,Galapagos tortoise,Female,Geochelone elephantopus,Male
3560752089353322,Black-eyed bulbul,Female,Pycnonotus barbatus,Female
201645565486189,Grey lourie,Female,Lorythaixoides concolor,Male
4175008197625258,"Cormorant, king",Male,Phalacrocorax albiventer,Female
3585249757824131,Rufous tree pie,Male,Dendrocitta vagabunda,Female
5010127274833332,Red-breasted nuthatch,Male,Sitta canadensis,Female
346315466218737,"Vulture, griffon",Male,Gyps fulvus,Male
